日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-08-03,000001,7.36,7.88,7.9,7.32,1405123,1757739728.0,7.73,5.07,0.38,1.19
2015-08-04,000001,7.84,7.91,8.02,7.69,774938,988843504.0,4.19,0.38,0.03,0.66
2015-08-05,000001,7.86,7.69,7.99,7.67,551802,704539360.0,4.05,-2.78,-0.22,0.47
2015-08-06,000001,7.61,7.64,7.8,7.55,450218,567208512.0,3.25,-0.65,-0.05,0.38
2015-08-07,000001,7.7,7.7,7.8,7.65,622010,785501392.0,1.96,0.79,0.06,0.53
2015-08-10,000001,7.75,7.96,8.02,7.65,1053112,1346325152.0,4.81,3.38,0.26,0.89
2015-08-11,000001,7.95,7.9,7.99,7.85,828493,1065323952.0,1.76,-0.75,-0.06,0.7
2015-08-12,000001,7.77,7.67,7.84,7.66,686822,869580816.0,2.28,-2.91,-0.23,0.58
2015-08-13,000001,7.62,7.67,7.75,7.55,606344,760265712.0,2.61,0.0,0.0,0.51
2015-08-14,000001,7.77,7.73,7.82,7.68,823789,1043762736.0,1.83,0.78,0.06,0.7
2015-08-17,000001,7.7,7.65,7.77,7.57,679643,852588992.0,2.59,-1.03,-0.08,0.58
2015-08-18,000001,7.61,7.42,7.81,7.15,1176324,1459671040.0,8.63,-3.01,-0.23,1.0
2015-08-19,000001,7.28,7.39,7.39,7.11,958894,1157078544.0,3.77,-0.4,-0.03,0.81
2015-08-20,000001,7.34,7.24,7.34,7.11,677634,815652768.0,3.11,-2.03,-0.15,0.57
2015-08-21,000001,7.11,6.78,7.19,6.75,933368,1095668272.0,6.08,-6.35,-0.46,0.79
2015-08-24,000001,6.45,5.82,6.5,5.82,1518030,1601529040.0,10.03,-14.16,-0.96,1.29
2015-08-25,000001,5.4,5.08,5.82,4.96,2192334,2122788592.0,14.78,-12.71,-0.74,1.86
2015-08-26,000001,5.2,5.45,5.72,4.95,2491920,2460482144.0,15.16,7.28,0.37,2.11
2015-08-27,000001,5.66,6.2,6.28,5.41,1849236,1912163264.0,15.96,13.76,0.75,1.57
2015-08-28,000001,6.27,6.22,6.44,5.99,1608030,1728745632.0,7.26,0.32,0.02,1.36
2015-08-31,000001,6.12,6.42,6.42,5.93,1464297,1578261440.0,7.88,3.22,0.2,1.24
2015-09-01,000001,6.28,6.84,6.87,6.04,2657661,3003860704.0,12.93,6.54,0.42,2.25
2015-09-02,000001,6.51,7.06,7.2,6.41,2815747,3273803296.0,11.55,3.22,0.22,2.39
2015-09-07,000001,6.82,6.27,6.83,6.27,1376111,1544055072.0,7.93,-11.19,-0.79,1.17
2015-09-08,000001,6.26,6.36,6.49,6.02,747292,815241856.0,7.5,1.44,0.09,0.63
2015-09-09,000001,6.39,6.45,6.52,6.26,851074,940582960.0,4.09,1.42,0.09,0.72
2015-09-10,000001,6.36,6.4,6.51,6.31,465206,514578384.0,3.1,-0.78,-0.05,0.39
2015-09-11,000001,6.38,6.33,6.46,6.26,426451,469297504.0,3.13,-1.09,-0.07,0.36
2015-09-14,000001,6.35,6.25,6.36,5.9,756453,813927120.0,7.27,-1.26,-0.08,0.64
2015-09-15,000001,6.1,6.0,6.24,5.95,542839,579042240.0,4.64,-4.0,-0.25,0.46
2015-09-16,000001,6.02,6.28,6.43,5.96,569244,612767024.0,7.83,4.67,0.28,0.48
2015-09-17,000001,6.24,6.17,6.48,6.17,620799,682338192.0,4.94,-1.75,-0.11,0.53
2015-09-18,000001,6.23,6.2,6.33,6.14,318273,345063776.0,3.08,0.49,0.03,0.27
2015-09-21,000001,6.11,6.21,6.27,6.07,386111,416851088.0,3.23,0.16,0.01,0.33
2015-09-22,000001,6.22,6.33,6.41,6.21,492956,541007296.0,3.22,1.93,0.12,0.42
2015-09-23,000001,6.25,6.11,6.29,6.1,371151,399583552.0,3.0,-3.48,-0.22,0.31
2015-09-24,000001,6.16,6.12,6.2,6.09,258633,277274192.0,1.8,0.16,0.01,0.22
2015-09-25,000001,6.1,5.99,6.12,5.9,446421,471537648.0,3.59,-2.12,-0.13,0.38
2015-09-28,000001,6.0,5.97,6.02,5.89,199087,209186171.0,2.17,-0.33,-0.02,0.17
2015-09-29,000001,5.9,5.85,6.0,5.8,333604,347612304.0,3.35,-2.01,-0.12,0.28
2015-09-30,000001,5.86,5.94,6.02,5.85,364660,383230176.0,2.91,1.54,0.09,0.31
